game,algo1,algo2,winner,nb_move
connect4,Alphabeta_1,MCTS_0.4,Alphabeta,15
connect4,Alphabeta_1,Alphabeta_5,Alphabeta,11
connect4,Alphabeta_1,MCTS_0.6,Alphabeta,15
connect4,Alphabeta_1,MCTS_0.8,Alphabeta,11
connect4,Alphabeta_1,MCTS_0.3,Alphabeta,7
connect4,Alphabeta_1,Alphabeta_3,Alphabeta,34
connect4,Alphabeta_1,MCTS_0.4,Alphabeta,17
connect4,Alphabeta_1,MCTS_0.2,Alphabeta,13
connect4,Alphabeta_1,MCTS_0.2,Alphabeta,9
connect4,Alphabeta_1,MCTS_0.1,Alphabeta,11
connect4,Alphabeta_1,MCTS_0.7,Alphabeta,15
connect4,Alphabeta_1,MCTS_0.3,Alphabeta,7
connect4,Alphabeta_1,MCTS_0.5,Alphabeta,7
connect4,Alphabeta_1,MCTS_0.6,Alphabeta,17
connect4,Alphabeta_1,MCTS_0.8,Alphabeta,13
connect4,Alphabeta_1,MCTS_0.1,Alphabeta,7
connect4,Alphabeta_1,Alphabeta_2,Alphabeta,22
connect4,Alphabeta_1,Minimax_1,Minimax,32
connect4,Alphabeta_1,Alphabeta_4,Alphabeta,7
connect4,Alphabeta_1,Alphabeta_3,Alphabeta,31
connect4,Alphabeta_1,Alphabeta_2,Alphabeta,26
connect4,Alphabeta_1,MCTS_0.3,Alphabeta,19
connect4,Alphabeta_1,MCTS_0.1,Alphabeta,17
connect4,Alphabeta_1,Alphabeta_4,Alphabeta,42
connect4,Alphabeta_1,MCTS_0.5,Alphabeta,11
connect4,Alphabeta_1,MCTS_0.6,Alphabeta,13
connect4,Alphabeta_1,MCTS_0.8,Alphabeta,7
connect4,Alphabeta_1,Alphabeta_5,Alphabeta,23
connect4,Alphabeta_1,Minimax_2,Minimax,10
connect4,Alphabeta_1,Alphabeta_3,Alphabeta,36
connect4,Alphabeta_1,MCTS_0.7,Alphabeta,17
connect4,Alphabeta_1,MCTS_0.4,Alphabeta,17
connect4,Alphabeta_1,MCTS_0.5,Alphabeta,13
connect4,Alphabeta_1,Minimax_1,Minimax,20
connect4,Alphabeta_1,Minimax_2,Alphabeta,35
connect4,Alphabeta_1,MCTS_0.2,Alphabeta,11
connect4,Alphabeta_1,Alphabeta_4,Alphabeta,29
connect4,Alphabeta_1,Minimax_3,Minimax,32
connect4,Alphabeta_1,Alphabeta_2,Alphabeta,42
connect4,Alphabeta_1,Minimax_2,Alphabeta,33
connect4,Alphabeta_1,Minimax_3,Minimax,34
connect4,Alphabeta_1,Minimax_1,Minimax,20
connect4,Alphabeta_1,MCTS_0.7,Alphabeta,23
connect4,Alphabeta_1,Minimax_3,Minimax,28
connect4,Minimax_1,Alphabeta_1,Minimax,23
connect4,Alphabeta_1,MCTS_0.9,Alphabeta,11
connect4,Minimax_1,Alphabeta_1,Alphabeta,38
connect4,Alphabeta_1,MCTS_0.9,Alphabeta,11
connect4,Alphabeta_1,MCTS_1.0,Alphabeta,9
connect4,Alphabeta_1,MCTS_1.0,Alphabeta,11
connect4,Minimax_1,MCTS_0.1,Minimax,11
connect4,Minimax_1,Alphabeta_1,draw,42
connect4,Minimax_1,MCTS_0.1,Minimax,7
connect4,Alphabeta_1,MCTS_0.9,Alphabeta,15
connect4,Minimax_1,MCTS_0.1,Minimax,9
connect4,Minimax_1,Minimax_2,Minimax,7
connect4,Minimax_1,Alphabeta_2,Minimax,25
connect4,Minimax_1,Minimax_2,Minimax,7
connect4,Minimax_1,Minimax_2,Minimax,7
connect4,Minimax_1,MCTS_0.2,Minimax,7
connect4,Minimax_1,Alphabeta_2,Alphabeta,38
connect4,Minimax_1,Alphabeta_2,Minimax,27
connect4,Alphabeta_1,Alphabeta_5,Alphabeta,34
connect4,Minimax_1,MCTS_0.2,Minimax,13
connect4,Minimax_1,MCTS_0.2,Minimax,15
connect4,Minimax_1,Alphabeta_3,Minimax,33
connect4,Minimax_1,MCTS_0.3,Minimax,7
connect4,Alphabeta_1,MCTS_1.0,Alphabeta,23
connect4,Minimax_1,MCTS_0.3,Minimax,9
connect4,Minimax_1,MCTS_0.3,Minimax,7
connect4,Minimax_1,Alphabeta_3,Alphabeta,28
connect4,Minimax_1,Alphabeta_3,Minimax,33
connect4,Minimax_1,Alphabeta_4,Minimax,7
connect4,Minimax_1,Alphabeta_4,Minimax,13
connect4,Minimax_1,MCTS_0.4,Minimax,17
connect4,Minimax_1,Minimax_3,Minimax,36
connect4,Alphabeta_1,Minimax_4,Minimax,18
connect4,Alphabeta_1,Minimax_4,Minimax,26
connect4,Minimax_1,MCTS_0.4,Minimax,7
connect4,Minimax_1,Minimax_3,Minimax,36
connect4,Minimax_1,MCTS_0.4,Minimax,11
connect4,Minimax_1,Alphabeta_4,Minimax,39
connect4,Minimax_1,MCTS_0.5,Minimax,7
connect4,Minimax_1,MCTS_0.5,Minimax,7
connect4,Minimax_1,MCTS_0.6,Minimax,7
connect4,Minimax_1,MCTS_0.5,Minimax,11
connect4,Minimax_1,MCTS_0.6,Minimax,11
connect4,Minimax_1,Minimax_3,Minimax,36
connect4,Minimax_1,MCTS_0.6,Minimax,9
connect4,Minimax_1,MCTS_0.7,Minimax,9
connect4,Minimax_1,Alphabeta_5,Minimax,7
connect4,Minimax_1,MCTS_0.7,Minimax,9
connect4,Minimax_1,Alphabeta_5,Minimax,7
connect4,Minimax_1,MCTS_0.8,Minimax,7
connect4,Minimax_1,MCTS_0.7,Minimax,9
connect4,Minimax_1,MCTS_0.8,Minimax,7
connect4,Minimax_1,MCTS_0.9,Minimax,7
connect4,Minimax_1,MCTS_1.0,Minimax,7
connect4,Minimax_1,MCTS_0.8,Minimax,13
connect4,Minimax_1,MCTS_1.0,Minimax,9
connect4,Minimax_1,MCTS_0.9,Minimax,9
connect4,Minimax_1,MCTS_0.9,Minimax,13
connect4,MCTS_0.1,Alphabeta_1,Alphabeta,18
connect4,MCTS_0.1,Minimax_1,Minimax,10
connect4,MCTS_0.1,Alphabeta_1,Alphabeta,16
connect4,MCTS_0.1,Minimax_1,Minimax,12
connect4,MCTS_0.1,Alphabeta_2,Alphabeta,12
connect4,MCTS_0.1,Minimax_1,draw,22
connect4,MCTS_0.1,Alphabeta_2,Alphabeta,12
connect4,MCTS_0.1,Alphabeta_1,Alphabeta,26
connect4,Minimax_1,Alphabeta_5,draw,42
connect4,MCTS_0.1,Alphabeta_2,Alphabeta,12
connect4,MCTS_0.1,Minimax_2,Minimax,12
connect4,MCTS_0.1,Minimax_2,Minimax,14
connect4,MCTS_0.1,Alphabeta_3,Alphabeta,8
connect4,MCTS_0.1,MCTS_0.2,MCTS,23
connect4,Minimax_1,MCTS_1.0,Minimax,19
connect4,MCTS_0.1,Minimax_2,Minimax,32
connect4,MCTS_0.1,Alphabeta_3,Alphabeta,12
connect4,MCTS_0.1,MCTS_0.2,MCTS,15
connect4,MCTS_0.1,MCTS_0.2,MCTS,25
connect4,MCTS_0.1,Alphabeta_3,Alphabeta,18
connect4,MCTS_0.1,Minimax_3,Minimax,8
connect4,MCTS_0.1,Minimax_3,Minimax,8
connect4,MCTS_0.1,Alphabeta_4,Alphabeta,10
connect4,MCTS_0.1,MCTS_0.3,MCTS,21
